visits,month,date,year,day,hour
6,October,28,2019,Monday,14
1,October,28,2019,Monday,15
1,October,29,2019,Tuesday,10
3,October,29,2019,Tuesday,12
3,October,29,2019,Tuesday,12
1,October,29,2019,Tuesday,13
1,October,29,2019,Tuesday,13
4,October,30,2019,Wednesday,09
1,October,30,2019,Wednesday,12
1,October,31,2019,Thursday,11
1,October,31,2019,Thursday,14
6,November,01,2019,Friday,09
6,November,01,2019,Friday,09
1,November,01,2019,Friday,13
3,November,02,2019,Saturday,12
1,November,04,2019,Monday,11
1,November,04,2019,Monday,13
3,November,04,2019,Monday,14
3,November,04,2019,Monday,14
6,November,05,2019,Tuesday,10
2,November,05,2019,Tuesday,14
1,November,05,2019,Tuesday,14
5,November,05,2019,Tuesday,16
2,November,06,2019,Wednesday,11
6,November,06,2019,Wednesday,12
1,November,06,2019,Wednesday,17
1,November,06,2019,Wednesday,17
1,November,07,2019,Thursday,11
6,November,07,2019,Thursday,14
1,November,07,2019,Thursday,17
1,November,08,2019,Friday,11
2,November,08,2019,Friday,12
6,November,11,2019,Monday,12
1,November,11,2019,Monday,14
6,November,11,2019,Monday,14
6,November,11,2019,Monday,14
5,November,11,2019,Monday,14
3,November,12,2019,Tuesday,14
1,November,12,2019,Tuesday,14
1,November,12,2019,Tuesday,14
1,November,13,2019,Wednesday,09
4,November,13,2019,Wednesday,12
1,November,13,2019,Wednesday,14
1,November,13,2019,Wednesday,15
1,November,14,2019,Thursday,14
3,November,15,2019,Friday,12
2,November,18,2019,Monday,11
2,November,18,2019,Monday,12
2,November,18,2019,Monday,13
2,November,18,2019,Monday,13
2,November,18,2019,Monday,13
2,November,18,2019,Monday,13
1,November,18,2019,Monday,14
1,November,18,2019,Monday,15
1,November,19,2019,Tuesday,13
1,November,19,2019,Tuesday,14
6,November,19,2019,Tuesday,15
2,November,19,2019,Tuesday,15
6,November,20,2019,Wednesday,11
2,November,20,2019,Wednesday,11
1,November,20,2019,Wednesday,14
1,November,20,2019,Wednesday,15
